מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
Totals,,,,,,,,,,"14,377",164,"11,497",80%,753,5%,752,5%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,4,רגיל,25,1,25,100%,0,0%,0,0%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,3,רגיל,23,1,23,100%,0,0%,0,0%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,2,רגיל,23,1,22,96%,0,0%,0,0%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,2,רגיל,27,1,27,100%,0,0%,0,0%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,3,רגיל,27,1,27,100%,0,0%,0,0%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,1,רגיל,26,1,26,100%,0,0%,0,0%
"111450- גוונים מ""מ",קרית ארבע,ממלכתי,ירושלים,יהודי,דורית מרגלית רזיאל אלישר,ענבל גונן,ז,1,רגיל,11,1,11,100%,0,0%,0,0%
112151- מצפה יריחו,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,יוסף יהושע יחזק פלהימר,ז,1,רגיל,21,1,4,19%,0,0%,0,0%
112250- עשה חייל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,ז,1,רגיל,27,1,25,93%,0,0%,0,0%
112250- עשה חייל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,ז,3,רגיל,24,1,22,92%,0,0%,0,0%
112516- מבוא חורון,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ערן מרגלית,ז,1,רגיל,22,1,15,68%,0,0%,0,0%
"112953- אהבת ישראל (חרד""ל)",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,גיא רפאלוב,ז,1,רגיל,24,1,22,92%,20,83%,19,79%
113217- הר נוף ממד בנות,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,ז,2,רגיל,31,1,30,97%,0,0%,0,0%
113217- הר נוף ממד בנות,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,ז,1,רגיל,29,1,28,97%,0,0%,0,0%
